Timestamp,stock_volume,Price,amount_volume
2020/4/7,2094092,21585559.5,6074261738
2020/4/3,1517585,15422063.84,6003355959
2020/4/2,1487495,15133345.73,6080170553
2020/4/1,3408082,35001557.98,6009264774
2020/3/31,3686985,39257063.93,6204255666
2020/3/30,2050679,21045009.53,6026991218
2020/3/27,1989328,21657684.47,6351976039
2020/3/26,1731514,18655109.55,6357884854
2020/3/25,1986091,21286857.05,6334249594
2020/3/24,2505338,26383325.2,6239708556
2020/3/23,1586122,16291589.73,6091988183
2020/3/20,1869435,19384698.39,6156985147
2020/3/19,2354240,23813967.93,6056535293
2020/3/18,1802537,18138284.56,5956085439
2020/3/17,3272325,32763780.3,5967903069
2020/3/16,3325568,34931705.08,6133349887
2020/3/13,3001359,31843461.6,6375611299
2020/3/12,3375313,36432388.84,6399246558
2020/3/11,4342125,48680258.77,6558784561
2020/3/10,3438243,36977276.45,6422881818
2020/3/9,4314967,46868367.2,6269252630
2020/3/6,2742380,31001806.68,6647416785
2020/3/5,3762124,42339903.96,6676960860
2020/3/4,2123486,23805963.54,6635599155
2020/3/3,3787482,43108681.79,6671052045
2020/3/2,2677661,29508268.21,6541058116
2020/2/28,3934641,42698239.88,6263343815
2020/2/27,3469635,39282638.81,6730140194
2020/2/26,4577639,51708032.74,6659234415
2020/2/25,5027262,56347633.01,6671052045
2020/2/24,4046765,46255565.75,6806954788
2020/2/21,5225231,59435923.5,6730140194
2020/2/20,5850015,65220982.07,6671052045
2020/2/19,6438933,70007825.82,6464243522
2020/2/18,5070340,54299773.28,6375611299
2020/2/17,5415601,57244657.27,6275161445
2020/2/14,4832637,51053224.87,6180620406
2020/2/13,3383614,35464652.52,6133349887
2020/2/12,3237915,34495777.86,6351976039
2020/2/11,5616425,59566875.07,6334249594
2020/2/10,5074556,52990591.16,6151076332
2020/2/7,9138205,99182629.27,6428790633
2020/2/6,4933114,51133277.93,6257435000
2020/2/5,5230374,50219894.98,5690188768
2020/2/4,5946633,55520916.1,5554286025
2020/2/3,695200,6917240,5879270845
2020/1/23,4910382,54510833.24,6529240487
2020/1/22,3756410,42812680.7,6848316492
2020/1/21,4040484,47766216.12,6948766346
2020/1/20,5334833,64052354.93,7090577904
2020/1/17,6453285,79333856.91,7196936573
2020/1/16,6403495,77831678.08,7126030794
2020/1/15,9821680,119387171.5,7131939608
2020/1/14,16734342,208117967.2,7456924429
2020/1/13,2080818,23743956.16,6777410713
2020/1/10,2329627,26725633.24,6801045973
2020/1/9,3115359,35622509.43,6765593083
2020/1/8,2733546,31084195,6694687304
2020/1/7,1993880,22537173.13,6706504934
2020/1/6,2804699,31668737.87,6635599155
2020/1/3,2083338,23575627.96,6665143230
2020/1/2,4851138,54843750,6759684268
2019/12/31,3757171,40837989.1,6470152337
2019/12/30,2205329,24304071.04,6517422857
2019/12/27,2904217,32422648.23,6564693376
2019/12/26,1318949,14911850.61,6676960860
2019/12/25,1256678,14154447.36,6659234415
2019/12/24,1310601,14716934.48,6629690340
2019/12/23,1819663,20476926.98,6641507970
2019/12/20,1452285,16537986.59,6724231379
2019/12/19,2748534,31376161.48,6777410713
2019/12/18,2103662,23763730.27,6665143230
2019/12/17,2036913,23068636.31,6730140194
2019/12/16,1983651,22481832.56,6676960860
2019/12/13,959670,10834853.21,6712413749
2019/12/12,868021,9743023.44,6623781525
2019/12/11,966901,10868336.23,6617872710
2019/12/10,1190585,13370910.2,6611963895
2019/12/9,1722653,19532156.97,6688778489
2019/12/6,836097,9548281.9,6741957824
2019/12/5,1427175,16255034.63,6741957824
2019/12/4,1373954,15414868.27,6647416785
2019/12/3,869905,9867365,6688778489
2019/12/2,1770753,20301578.09,6765593083
2019/11/29,1965034,22795840.67,6812863603
